TRX_ID,TRX_TS,PRODUCT_ID,PRODUCT_NAME,SALES
5618,12/07/18 09.17,281,Teh Tubruk,12000
5618,12/07/18 09.17,281,Teh Tubruk,12000
5619,12/07/18 10.47,228,Bakmi Godog Keju,30000
5619,12/07/18 10.47,228,Bakmi Godog Keju,30000
5619,12/07/18 10.47,306,Mineral Water,8000
5619,12/07/18 10.47,281,Teh Tubruk,12000
5620,12/07/18 10.37,334,Extra Kerupuk Putih,6000
5620,12/07/18 10.37,283,Hot/Ice Lemon Tea,26000
5620,12/07/18 10.37,276,Kopi Tubruk,18000
5620,12/07/18 10.37,329,Nasi Goreng Jawa,32000
5620,12/07/18 10.37,230,Nasi Putih,7038
5620,12/07/18 10.37,246,Nasi Putih,7039
5620,12/07/18 10.37,225,Rawon,30000
5620,12/07/18 10.37,230,Soto Ayam,30000
5620,12/07/18 10.37,246,Soto Ayam,34000
5620,12/07/18 10.37,358,Teh Tarik,20000
5620,12/07/18 10.37,281,Teh Tubruk,12000
5620,12/07/18 10.37,281,Teh Tubruk,12000
5621,12/07/18 13.36,228,Bakmi Godog Keju,30000
5621,12/07/18 13.36,231,Nasi Goreng Jawa,34000
5621,12/07/18 13.36,281,Teh Tubruk,12000
5621,12/07/18 13.36,281,Teh Tubruk,12000
5621,12/07/18 13.36,281,Teh Tubruk,12000
5622,12/07/18 15.23,288,Fresh Orange Juice,35000
5622,12/07/18 15.23,270,Kopi Tubruk,28000
5623,12/07/18 15.18,262,Americano,29000
5624,12/07/18 18.50,283,Hot/Ice Lemon Tea,26000
5625,12/08/18 10.09,254,Pisang Goreng,28000
5625,12/08/18 10.09,255,Pisang Goreng,24000
5625,12/08/18 10.09,281,Teh Tubruk,12000
5625,12/08/18 10.09,281,Teh Tubruk,12000
5626,12/08/18 10.22,228,Bakmi Godog Keju,30000
5626,12/08/18 10.22,228,Bakmi Godog Keju,30000
5626,12/08/18 10.22,228,Bakmi Godog Keju,30000
5626,12/08/18 10.22,333,Extra Kerupuk Putih,5000
5626,12/08/18 10.22,333,Extra Kerupuk Putih,5000
5626,12/08/18 10.22,302,Fresh Orange Juice,34000
5626,12/08/18 10.22,302,Fresh Orange Juice,34000
5626,12/08/18 10.22,264,Latte,34000
5626,12/08/18 10.22,306,Mineral Water,8000
5626,12/08/18 10.22,258,Pisang Goreng,28000
5626,12/08/18 10.22,214,Roti Bakar,22000
5626,12/08/18 10.22,214,Roti Bakar,22000
5626,12/08/18 10.22,214,Roti Bakar,22000
5626,12/08/18 10.22,281,Teh Tubruk,12000
5626,12/08/18 10.22,281,Teh Tubruk,12000
5627,12/08/18 12.02,339,Fresh Orange Juice,23000
5627,12/08/18 12.02,222,Nasi Goreng Jawa,18000
5628,12/08/18 13.11,228,Bakmi Godog Keju,30000
5628,12/08/18 13.11,334,Extra Kerupuk Putih,6000
5628,12/08/18 13.11,276,Kopi Tubruk,18000
